date,BTC,ETH,XRP
2020-01-03,495098583.0,54139288.22,13425667.29
2020-01-04,219874240.9,24641135.57,6591839.236
2020-01-05,284848683.8,34593687.6,10607350.48
2020-01-06,413330481.2,57400544.49,49710472.36
2020-01-07,724202791.1,63861666.4,44351703.88
2020-01-08,926410232.6,81184999.73,31472465.54
2020-01-09,507258250.5,50611452.58,15431045.59
2020-01-10,652774220.4,57377525.56,29977092.95
2020-01-11,445034349.6,53149360.56,25532572.24
2020-01-12,309351920.5,33112850.82,15123300.64
2020-01-13,252656965.4,29888095.37,10795581.68
2020-01-14,1032735181.0,173492006.2,68826737.17
2020-01-15,743712237.3,119239937.9,55956373.1
2020-01-16,451752380.3,74038650.83,31838224.54
2020-01-17,629568740.7,129909265.3,50576051.72
2020-01-18,340852837.9,119388338.8,50099945.92
2020-01-19,623950864.3,105691368.8,43172566.93
2020-01-20,336447837.0,59292534.72,26640859.52
2020-01-21,316056705.0,51615232.57,26486822.91
2020-01-22,252638888.2,45903134.16,20010091.38
2020-01-23,407428808.7,60971659.77,24097989.55
2020-01-24,349874174.8,68980724.06,26926281.58
2020-01-25,212869245.6,35196608.31,12470105.17
2020-01-26,263941925.3,41239031.34,17962846.06
2020-01-27,473194952.8,61846624.61,23755953.85
2020-01-28,676593159.5,81649497.49,37078070.27
2020-01-29,503188568.8,55988230.27,27305581.98
2020-01-30,569652869.8,85164074.08,38659074.56
2020-01-31,425779010.4,69633052.28,29315461.81
2020-02-01,268137740.0,47263178.07,18983141.14
2020-02-02,428064088.7,104105613.6,55336019.75
2020-02-03,476379993.5,79336312.52,42349822.14
2020-02-04,491136137.2,68720832.62,71201308.85
2020-02-05,613540574.8,108659358.5,85518327.62
2020-02-06,631245079.8,127874220.8,77128867.82
2020-02-07,430744860.2,138524804.2,44807968.24
2020-02-08,427781790.2,122069507.7,45400358.53
2020-02-09,437441704.9,79674647.0,42852878.73
2020-02-10,590091358.4,113385289.0,39179667.17
2020-02-11,624970415.4,135863928.6,41421937.64
2020-02-12,629756037.5,266734296.6,105875104.9
2020-02-13,815507473.7,291533156.1,221009646.9
2020-02-14,482455622.0,201120424.6,114034581.3
2020-02-15,580845331.2,236287101.1,128137062.3
2020-02-16,592584876.9,286269166.3,113239956.9
2020-02-17,680009637.6,280371301.8,99269030.97
2020-02-18,696870122.8,304162263.3,86321655.13
2020-02-19,547679966.9,191887955.8,64036617.68
2020-02-20,576020107.5,249383114.0,73579378.38
2020-02-21,408286949.8,137848242.4,48263687.84
2020-02-22,237544283.2,81781388.32,29292468.96
2020-02-23,371815095.5,120024059.0,37646258.08
2020-02-24,542081527.6,185949182.7,50198305.73
2020-02-25,514946930.6,197442911.5,54520365.7
2020-02-26,830717784.4,324229460.6,86964308.84
2020-02-27,636955872.8,287322727.3,59103715.42
2020-02-28,615664817.0,236064804.3,44944524.96
2020-02-29,318585952.0,123635801.0,24722678.53
2020-03-01,375729315.3,157064953.8,28835622.11
